title,description
Data Scientist,Looking for Python ML experience Deep Learning TensorFlow and data analysis. Must know SQL and statistics.
Machine Learning Engineer,Build ML models using PyTorch and scikit-learn. Experience with cloud deployment and APIs.
Software Engineer,Java backend development with Spring Boot. SQL database and RESTful APIs.
Full Stack Developer,React frontend with Node.js backend. JavaScript TypeScript and database integration.
Data Analyst,SQL analytics and visualization. Python pandas and Excel. Business intelligence reporting.
DevOps Engineer,AWS cloud infrastructure and Docker. Jenkins CI/CD and Kubernetes deployment.
AI Researcher,Deep learning research papers. PyTorch TensorFlow and machine learning algorithms.
Backend Developer,Python Django Flask APIs. PostgreSQL and MongoDB database work.
Frontend Developer,React Vue.js UI development. CSS HTML JavaScript responsive design.
Product Manager,Product roadmapping and Agile methodology. SQL analytics and stakeholder management.
Cloud Architect,AWS Azure cloud design. Terraform and infrastructure as code. Security best practices.
NLP Engineer,Natural language processing with spaCy NLTK. BERT GPT models and text analysis.
Database Administrator,MySQL PostgreSQL database management. Backup recovery and performance tuning.
QA Engineer,Automated testing with Selenium. Python pytest and CI/CD quality assurance.
UX Designer,UI/UX design with Figma. User research prototyping and design systems.
Business Analyst,Requirements gathering SQL reporting. Excel analytics and process improvement.
Statistical Analyst,R statistical analysis SAS. Data modeling and hypothesis testing.
Systems Administrator,Linux server management. Bash scripting and network security.
Mobile Developer,Android iOS mobile apps. Kotlin Swift and cross-platform frameworks.
Blockchain Developer,Solidity Ethereum smart contracts. Web3 and decentralized applications.
BI Developer,Power BI Tableau dashboards. SQL ETL and data warehousing.
